timestamp2001_ms+[TREMOR12_samples_2020_07_01_0727.csv]TREMOR12_samples_2020_07_01_072!$A$1:$A$41,roll,pitch,yaw,rotX,rotY,rotZ,accX,accY,accZ,gravX,gravY,gravZ
4.55616E+11,-0.31489746,0.025198051,0.158578431,-0.142119333,-0.195110142,0.445886374,0.015397068,-0.022413734,-0.00237104,-0.305832863,-0.157914639,-0.938897908
4.55616E+11,-0.31935695,0.028947821,0.156875422,-0.083262064,-0.344896793,0.394965619,-0.017307045,-0.013795921,-0.001735497,-0.310100794,-0.156232759,-0.937778652
4.55616E+11,-0.324364777,0.032291267,0.155459702,-0.011677674,-0.481882244,0.347172797,-0.029649645,-0.024853226,0.009329184,-0.314863294,-0.15483427,-0.936422706
4.55616E+11,-0.330589442,0.035662954,0.154674722,0.045104332,-0.595406353,0.339891434,-0.02305509,-0.027826054,0.011112659,-0.320725441,-0.15405871,-0.934559286
4.55616E+11,-0.337543565,0.039273103,0.154119767,0.068808548,-0.649442136,0.361327231,-0.020273997,-0.02292702,0.017195249,-0.327244937,-0.153510362,-0.932386875
4.55616E+11,-0.345368513,0.043306335,0.153911432,0.079768576,-0.688605905,0.397687674,-0.01210764,-0.015564528,0.012942403,-0.334541529,-0.153304487,-0.92982775
4.55616E+11,-0.353314399,0.04766909,0.153351895,0.10031455,-0.736235678,0.431915432,-0.01422183,-0.016117474,0.008168437,-0.341948837,-0.15275155,-0.927220583
4.55616E+11,-0.361143767,0.052228826,0.15283746,0.110855818,-0.695838153,0.4402996,-0.026110154,-0.02497245,0.015851133,-0.349225551,-0.152243122,-0.924588323
4.55616E+11,-0.367852475,0.056628512,0.152270092,0.095401451,-0.567462564,0.417549789,-0.027971419,-0.03534463,0.022326488,-0.355451435,-0.151682347,-0.922305107
4.55616E+11,-0.373790942,0.060428448,0.152252155,0.032729443,-0.383116692,0.344611585,-0.024925794,-0.025505183,0.023192657,-0.360923201,-0.151664615,-0.920180559
4.55616E+11,-0.376523779,0.062819256,0.15090274,-0.064206451,-0.19038929,0.242941692,-0.031111324,-0.042433608,0.019706815,-0.363511473,-0.150330678,-0.919380248
